MSNA_time,BP,ECG,MSNA_v,MSNA_filt,MSNA_v_zeroed,MSNA_vjust
895.96,-5.46875e-5,-0.07243945,0.1144009,0.001484199036869085,0.001039899789061843,0.005395655207206347
896,-7.03125e-5,-0.0600625,0.1159245,0.0013431709558892116,0.002229322985378564,0.006585078403523068
896.04,-6.25e-5,-0.04892188,0.1144627,5.856409682460034e-4,0.0010790964566014475,0.005434851874745951
896.08,-5.859375e-5,-0.04789062,0.1123266,-8.274375582242175e-4,-5.994862215656276e-4,0.003756269196578876
896.12,-7.03125e-5,-0.03895313,0.1091295,-0.0021959554482679972,-0.003109791461405871,0.0012459639567386324
896.16,-6.25e-5,-0.02684766,0.1096994,-0.003071596030405659,-0.0026679560915914176,0.001687799326553086
896.2,-6.640625e-5,0.04664258,0.1084578,-0.0037634924514648523,-0.003646423224749462,7.093321933950418e-4
896.24,-5.46875e-5,-0.02491211,0.1075603,-0.004445083801571321,-0.004355755418144504,0
896.28,-7.03125e-5,-0.05691211,0.1067704,-0.004932793864759222,-0.004981436978543051,0
896.32,-7.421875e-5,0.3232012,0.1054138,-0.0047250246627819825,-0.00605209328080328,0
896.36,-7.03125e-5,0.4471992,0.1088996,-0.0034661560951808924,-0.0033281588069345785,0
896.4,-7.03125e-5,-0.1875801,0.1128497,-0.0022960821992115544,-2.408245490519549e-4,0
896.44,-5.859375e-5,-0.1464609,0.1100018,-0.002154666013335662,-0.002481903803997732,0
896.48,-5.46875e-5,-0.07546484,0.1094694,-0.002035832154011072,-0.00290845100040441,0
896.52,-7.03125e-5,0.04318945,0.1117434,-0.0011831350101089307,-0.0011357586366213558,0
896.56,-5.859375e-5,0.195459,0.1125582,1.8927735614153533e-4,-5.069887228977618e-4,0
896.6,-7.03125e-5,0.2306894,0.1153451,0.0020888644620498187,0.0016674630088616505,0
896.64,-8.203125e-5,-0.02297461,0.1174585,0.0047726549217982405,0.0033142785605973337,0
896.68,-5.46875e-5,-0.1883906,0.125734,0.007501335838079557,0.0097915649350912,0
896.72,-7.03125e-5,-0.162207,0.1252436,0.008643424370357988,0.009399552292381742,0
896.76,-5.46875e-5,-0.134043,0.1236591,0.008156502553035799,0.008151451894862442,0
896.8,-7.03125e-5,-0.1175781,0.1217537,0.007121013311949352,0.006653112521795454,0
896.84,-7.03125e-5,-0.1003301,0.1205227,0.006080366130256399,0.005684428781480105,0
896.88,-5.46875e-5,-0.08529492,0.1200721,0.004963629935879383,0.005328332102767074,0
896.92,-5.46875e-5,-0.07392969,0.1176526,0.003485914190225679,0.0034298232206690176,0
896.96,-5.078125e-5,-0.06669531,0.1149317,0.0019311284757541445,0.001295614099933092,0
897,-6.25e-5,-0.05779687,0.1134585,8.995720250686154e-4,1.3957576722014992e-4,0
897.04,-3.90625e-5,-0.0459082,0.1136332,5.55988670963496e-4,2.752084846568244e-4,0
897.08,-3.90625e-5,-0.04154297,0.1140463,5.829483405841068e-4,5.977461990912457e-4,0
897.12,-4.6875e-5,0.01557227,0.1141495,6.574282101138114e-4,6.774739928934201e-4,0
897.16,-4.296875e-5,0.02520898,0.1148881,4.484485140368108e-4,0.0012553449309685488,0
897.2,-4.6875e-5,-0.06764062,0.1123658,-6.64248501781168e-5,-7.225287481387151e-4,0
897.24,-3.515625e-5,-0.04282031,0.113334,-6.05363055326693e-4,3.539029595010713e-5,0
897.28,-5.078125e-5,0.814209,0.1107606,-9.851662978440754e-4,-0.001982644853702325,0
897.32,-5.078125e-5,-0.1766348,0.1125365,-0.0010171965812019101,-5.919458204783788e-4,0
897.36,-4.6875e-5,-0.1733457,0.1125462,-0.001081380916669695,-5.857146113511036e-4,0
897.4,-3.125e-5,-0.1159727,0.1108013,-0.0012962667181308297,-0.0019548579863671494,0
897.44,-3.125e-5,-0.02810937,0.1107786,-8.375020953565875e-4,-0.0019744236060771393,0
897.48,-3.125e-5,0.1293477,0.1138972,5.980220608694836e-4,4.678975380270114e-4,0
897.52,-2.734375e-5,0.2556992,0.1181643,0.0018396657388342677,0.0038105042895830487,0
897.56,-3.125e-5,0.1195605,0.1165363,0.0015548677628199846,0.0025330440416546723,0
897.6,-4.6875e-5,-0.1814238,0.1131425,8.03714857963201e-5,-1.280769932142118e-4,0
897.64,-3.90625e-5,-0.2164688,0.1113434,-0.0015601633043917376,-0.0015392682134376505,0
897.68,-4.6875e-5,-0.1712988,0.1085455,-0.00275421701890125,-0.0037335771063593468,0
897.72,-3.125e-5,-0.1314492,0.1094025,-0.0032512699858572454,-0.0030637095802066986,0
897.76,-3.90625e-5,-0.1124043,0.110232,-0.0037689718849879075,-0.0024158808045075548,0
897.8,-3.90625e-5,-0.1011133,0.1058,-0.00450251857791903,-0.00589247703678028,0
897.84,-2.34375e-5,-0.0863418,0.1059941,-0.004017003215511764,-0.0057439965055234065,0
897.88,-3.90625e-5,-0.07280273,0.1110241,-0.001848282961831063,-0.0018059713408056701,0
897.92,-4.6875e-5,-0.06408789,0.1152548,6.887544198010719e-4,0.001505265157472337,0
897.96,-5.078125e-5,-0.0541875,0.1176218,0.0024180483537901863,0.003355943053296735,0
898,-3.90625e-5,-0.04695899,0.1176065,0.0031616544577587695,0.00333986806949456,0
898.04,-3.90625e-5,0.01731836,0.1172572,0.003468568339606756,0.0030625262666446364,0
898.08,-3.515625e-5,0.008052734,0.1186152,0.0036275213514356123,0.004123875738864795,0
898.12,-1.953125e-5,-0.06804492,0.1175423,0.0034693781213014844,0.0032805001895653825,0
898.16,-3.515625e-5,-0.008773438,0.1175556,0.003000813958481702,0.003289022740671446,0
898.2,-2.34375e-5,0.7980156,0.1166666,0.0021120280033578792,0.002590828285665026,0
898.24,-3.515625e-5,-0.1923379,0.1144933,6.800776553613446e-4,8.863891704208449e-4,0
898.28,-3.90625e-5,-0.1855547,0.1116354,-9.110728410349488e-4,-0.0013545098235137006,0
898.32,-3.515625e-5,-0.1200527,0.1098613,-0.0020114051599311985,-0.002746123853040762,0
898.36,-3.515625e-5,-0.02313867,0.1095555,-0.0021607377532026654,-0.0029872957571699748,0
898.4,-3.90625e-5,0.1271895,0.1111521,-0.0013349336312436125,-0.001737809460313162,0
898.44,-3.90625e-5,0.2363574,0.1140096,-1.1089765627273522e-4,4.997149341550316e-4,0
898.48,-2.734375e-5,0.07897265,0.1142859,9.648540008236777e-4,7.141345458502589e-4,0
898.52,-3.125e-5,-0.176791,0.1159478,0.0019458506726288446,0.002014721226989427,0
898.56,-3.515625e-5,-0.1873281,0.1188154,0.0022654911003524383,0.004260672023606546,0
898.6,-1.953125e-5,-0.1539336,0.1143892,0.0014524500578451567,7.903046439994159e-4,0
898.64,-2.734375e-5,-0.1285723,0.1134764,4.948723359324775e-4,7.391826762386336e-5,0
898.68,-3.125e-5,-0.1043418,0.1137572,-1.633702407368457e-4,2.9310534376336217e-4,0
898.72,-3.125e-5,-0.09282031,0.1112803,-6.430929392464005e-4,-0.0016491883678369911,0
898.76,-2.34375e-5,-0.08915625,0.1118291,-3.426515379465187e-4,-0.0012201529860432771,0
898.8,-2.34375e-5,-0.07670117,0.1148404,6.818484780849975e-4,0.0011388345441239063,0
